Date,Close Price
2013-12-21 00:00:00,608.96
2013-12-22 00:00:00,617.82
2013-12-23 00:00:00,673.17
2013-12-24 00:00:00,667.62
2013-12-25 00:00:00,687.36
2013-12-26 00:00:00,765.21
2013-12-27 00:00:00,746.72
2013-12-28 00:00:00,730.47
2013-12-29 00:00:00,745.07
2013-12-30 00:00:00,754.76
2013-12-31 00:00:00,757.5
2014-01-01 00:00:00,770.44
2014-01-02 00:00:00,808.05
2014-01-03 00:00:00,830.02
2014-01-04 00:00:00,858.98
2014-01-05 00:00:00,940.1
2014-01-06 00:00:00,951.39
2014-01-07 00:00:00,810.58
2014-01-08 00:00:00,859.95
2014-01-09 00:00:00,860.89
2014-01-10 00:00:00,884.67
2014-01-11 00:00:00,930.9
2014-01-12 00:00:00,873.26
2014-01-13 00:00:00,857.96
2014-01-14 00:00:00,851.83
2014-01-15 00:00:00,874.71
2014-01-16 00:00:00,847.37
2014-01-17 00:00:00,828.22
2014-01-18 00:00:00,843.76
2014-01-19 00:00:00,878.68
2014-01-20 00:00:00,871.05
2014-01-21 00:00:00,874.29
2014-01-22 00:00:00,863.95
2014-01-23 00:00:00,854.35
2014-01-24 00:00:00,825.12
2014-01-25 00:00:00,861.85
2014-01-26 00:00:00,880.15
2014-01-27 00:00:00,814.53
2014-01-28 00:00:00,833.94
2014-01-29 00:00:00,837.51
2014-01-30 00:00:00,845.85
2014-01-31 00:00:00,848.29
2014-02-01 00:00:00,853.02
2014-02-02 00:00:00,854.37
2014-02-03 00:00:00,846.9
2014-02-04 00:00:00,842.01
2014-02-05 00:00:00,820.87
2014-02-06 00:00:00,783.62
2014-02-07 00:00:00,703.57
2014-02-08 00:00:00,676.91
2014-02-09 00:00:00,681.94
2014-02-10 00:00:00,679.73
2014-02-11 00:00:00,669.44
2014-02-12 00:00:00,648.38
2014-02-13 00:00:00,598.41
2014-02-14 00:00:00,656.61
2014-02-15 00:00:00,645.43
2014-02-16 00:00:00,610.65
2014-02-17 00:00:00,621.49
2014-02-18 00:00:00,621.22
2014-02-19 00:00:00,617.71
2014-02-20 00:00:00,552.21
2014-02-21 00:00:00,569.04
2014-02-22 00:00:00,604.75
2014-02-23 00:00:00,604.58
2014-02-24 00:00:00,545.32
2014-02-25 00:00:00,534.71
2014-02-26 00:00:00,577.09
2014-02-27 00:00:00,576.7
2014-02-28 00:00:00,543.93
2014-03-01 00:00:00,563.74
2014-03-02 00:00:00,560.3
2014-03-03 00:00:00,661.12
2014-03-04 00:00:00,663.6
2014-03-05 00:00:00,661.79
2014-03-06 00:00:00,658.72
2014-03-07 00:00:00,625.83
2014-03-08 00:00:00,615.24
2014-03-09 00:00:00,633.18
2014-03-10 00:00:00,625.83
2014-03-11 00:00:00,628.95
2014-03-12 00:00:00,631.39
2014-03-13 00:00:00,638.16
2014-03-14 00:00:00,626.71
2014-03-15 00:00:00,633.67
2014-03-16 00:00:00,630.72
2014-03-17 00:00:00,621.22
2014-03-18 00:00:00,613.63
2014-03-19 00:00:00,608.82
2014-03-20 00:00:00,586.59
2014-03-21 00:00:00,570.77
2014-03-22 00:00:00,564.42
2014-03-23 00:00:00,561.35
2014-03-24 00:00:00,586.27
2014-03-25 00:00:00,582.28
2014-03-26 00:00:00,579.07
2014-03-27 00:00:00,478.16
2014-03-28 00:00:00,502.44
2014-03-29 00:00:00,493.18
2014-03-30 00:00:00,461.87
2014-03-31 00:00:00,458.5
2014-04-01 00:00:00,478.72
2014-04-02 00:00:00,437.51
2014-04-03 00:00:00,447.08
2014-04-04 00:00:00,448.88
2014-04-05 00:00:00,464.83
2014-04-06 00:00:00,460.7
2014-04-07 00:00:00,446.22
2014-04-08 00:00:00,450.46
2014-04-09 00:00:00,440.2
2014-04-10 00:00:00,360.84
2014-04-11 00:00:00,420.06
2014-04-12 00:00:00,420.66
2014-04-13 00:00:00,414.95
2014-04-14 00:00:00,457.63
2014-04-15 00:00:00,520.12
2014-04-16 00:00:00,529.16
2014-04-17 00:00:00,494.4
2014-04-18 00:00:00,478.23
2014-04-19 00:00:00,501.55
2014-04-20 00:00:00,497.32
2014-04-21 00:00:00,493.09
2014-04-22 00:00:00,484.43
2014-04-23 00:00:00,486.93
2014-04-24 00:00:00,500.26
2014-04-25 00:00:00,459.61
